,run_uuid,hostname,run_num,total_runs,exp_command,exp_number,order_number,order_type,time_start,time_stop,completion_status,result
4679,dc5a87d7-3102-11ec-9b52-1458d0584f82,hp065.utah.cloudlab.us,227,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,9,random,93.643579645,93.6510109,Success,1.94
4680,986f751f-3103-11ec-b731-1458d0584f82,hp065.utah.cloudlab.us,228,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,0,random,93.701891805,93.717528238,Success,10.431
4681,986f751f-3103-11ec-b731-1458d0584f82,hp065.utah.cloudlab.us,228,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,1,random,93.717860411,93.72735377,Success,4.893
4682,986f751f-3103-11ec-b731-1458d0584f82,hp065.utah.cloudlab.us,228,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,random,93.727646541,93.741025922,Success,10.898
4683,986f751f-3103-11ec-b731-1458d0584f82,hp065.utah.cloudlab.us,228,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,3,random,93.741317571,93.750309263,Success,4.453
4684,986f751f-3103-11ec-b731-1458d0584f82,hp065.utah.cloudlab.us,228,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,4,random,93.750598702,93.791655312,Success,28.0
4685,986f751f-3103-11ec-b731-1458d0584f82,hp065.utah.cloudlab.us,228,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,5,random,93.791964296,93.802338147,Success,6.824
4686,986f751f-3103-11ec-b731-1458d0584f82,hp065.utah.cloudlab.us,228,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,6,random,93.8026252,93.810015929,Success,1.971
4688,986f751f-3103-11ec-b731-1458d0584f82,hp065.utah.cloudlab.us,228,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,8,random,93.837999304,93.846469728,Success,3.586
4689,986f751f-3103-11ec-b731-1458d0584f82,hp065.utah.cloudlab.us,228,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,9,random,93.846765867,93.855218819,Success,3.6
